,business_id,name,city
43529,8h7iYO4WLnzpqEj8dozjIA,Sorrentino's Bistro-Bar,Calgary
43530,Nc7-nyG_RzXrEqBuxihcgQ,BJ's Restaurant & Brewhouse,Chandler
43532,SANO6RtVrYUVy3ObKQTSYQ,Affy's Premium Grill,Scarborough
43536,BU44MZzM82yPiBhMyj9r7w,Sarku Japan,Champaign
43538,E8T3tAqqBDH3Z9_5itSs6A,Cakes By Cupcake,Mesa
43544,cX7Wgc0RKDkGTOwVGjHx0w,Restaurant d'Alma,Montr̩al
43547,1aj4TG0eFq6NaPBKk6bK7Q,Jacques Cafe,Las Vegas
43553,bjbegGikWzSgeVsOJdE22g,Chili Peppers,Cleveland
43554,pPbkSv9GCoNbGg9BiVP8Ag,Bite Your Tongue,Charlotte
43560,-hHlfsgR_PInaij4U_S98Q,Le Showwok,Montr̩al
43567,mosJ-tTDBA0ypKlYEDulBQ,Amir,Montr̩al
43568,m7PPpShEdfhtV-7NnPN1Nw,Duke of Kent,Toronto
43570,ELt26I6N0VqVywR5J4TMlw,Mong-Kut Thai,Toronto
43574,Kwc1AaV_HU8x1M2fVH4qwA,Forever Good Asian Cuisine,Calgary
43577,_DsNlqQpZx8O2ozY9WEOgQ,Saq,Montr̩al
43584,dU34LGqegjPB6bKKV9TWgg,Pho Wes,Mesa
43589,PYIybkNdtvtSHVgBjKjFzQ,Diamond Bakery,Calgary
43590,Vcu-rDLi-VHautyy9u_uVA,Super Gyro,Chateauguay
43596,1kLBRbYQRJN7SQXLF98RKA,The Saigon Hustle,Toronto
43602,9QfhaVVbjJaTxtztHCp7tQ,Georgio's Oven Fresh Pizza,Berea
43605,oSxApRzEpA9lvue52ZSecQ,Kick's Frozen Yogurt,Tempe
43612,0E4I4sEa7l89AdnDF-wjLg,Panera Bread,Charlotte
43617,de2ezuGAKPYjHA8pYNnd6g,Extreme Pita,Toronto
43621,nIroO3-n_GqxlUMvhNjxEQ,Le Couteau,Montr̩al
43630,FZ67u0gpFwM9i0NFTLmqyQ,The Arepa Republic,Toronto
43634,ZkGrd4IKS0dv_Vxe711eWQ,Lumpy's Shake Shop,Brookpark
43635,Xo15NUvvPieoEOmf57Et6w,Applewood Fish & Chips,Mississauga
43636,mC39IrCp36QIVFRZIw9PTQ,Seoul Food Meat Company,Charlotte
43642,XvYtp_rwIWdd382zbQ6XjA,Jojo's Pizza & Family Restaurant,Glendale
43644,eZQV20xRXOuqR1Hej3nEqA,Focaccia Italian Sandwiches,Toronto
43647,2-9wu090DJutG_MPUgPWQw,Aladdin's Eatery,Lakewood
43653,gBy6UXTpoSHhW6qd15XU0g,Lakes Lounge,Las Vegas
43657,9mmE-8QES9UHgn9jpUi8oQ,Smax Flatbread Grill,Charlotte
43659,kownTVHHvOKawjjmO_WkJw,Ashdale Brunch and Espresso,Toronto
43660,C_X46BVr5NVoC2aC6ea9tg,Popeyes Louisiana Kitchen,Peoria
43661,9tgJbLfCQcZ35-TSabZOfA,The Coup,Calgary
43663,mBzL2_AKRD5TFQwMA6Itdg,Lone Spur Cafe,Peoria
43665,L_GiRGKnEUMW56cRskf5Mw,The Stone Pizza,Toronto
43666,qRTbYc7ennnwfr992kfjdA,Caffino Ristorante,Toronto
43668,9B9rmmyvI7uWx9C_BFU59A,Smokeit BBQ & Catering,Las Vegas
43669,K5Ex8diP6rIh8P16D8KHVA,Sammy's Woodfired Pizza and Grill,Las Vegas
43673,Vj-0b1zQVwkecyfuhd0E0w,Sushime,Calgary
43674,GnOyx_42NpBALQxXmEMxuQ,Stir Fry 88,North Olmsted
43675,AS-WRS4sUuVuu6ErCIetXg,Parwan Kabob,Toronto
43679,K7wkgmHe4q5vvwVIIbcleQ,Pizza St-Viateur Monkland,Montr̩al
43680,-OhQws_Si3YOYDfm6DilxA,Cafe Aunja,Montr̩al
43684,V9tQ17R-ylewt_S-Cw1o_Q,Nations Fresh Food,Vaughan
43685,8Ahmk-vBrOn47BRmjDGvMg,Kitchen On Sixth,Toronto
43688,XtE_J8DZXgjFbW1xVkqmUw,H2O Poke & Sushi Burrito,Las Vegas
43695,SySedNNHZmfLGwn1GuHghQ,Waterbean Coffee,Charlotte
43698,tBpUgbxm7nVgd3inU3dB0A,Boston Pizza,Calgary
43700,C3hovX-UcG8vfGN90eMnKw,Sol Caribe Puerto Rican Cuisine,Scottsdale
43701,Q8b36PEPL61nxeQDcLBV7g,Scoops in Bloomfield,Pittsburgh
43704,HPgtk1ZiGJJp-xFSgCO5Jg,Souvlaki Kalamaki,Toronto
43705,t4qEsqfsL26p6s2Q42OydA,Rivas Nicaraguan Restaurant,Pittsburgh
43706,sWyGwwim1udhyZRCv3OyTw,Get Go Fuel Station,Broadview Heights
43707,uxaethoItXK-OrNed0EaEQ,MacaronZ,Brampton
43710,epoEBSCz3Mh4X-vVvcioNA,BiCE Ristorante,Scottsdale
43726,hTBW3vUNgWz4E9BXDtSW9Q,Fry's Food & Drug Stores & Fry's Marketplace,Glendale
43728,S6185mqOFmxuPiezVnSJfQ,Inn Zone,Las Vegas
43729,wlm9HjyeW20anJ-kVEMY6g,Plato Pronto,Charlotte
43736,f9ERQpAPOAMv5Ay0kyD3Yw,Shanghai Grill,Peoria
43739,JNGALo3aBkbUsUFGu3fgrw,Co-op,Calgary
43741,C9dN7uMAMPAcKNEN8y3Yag,Jouney,Montr̩al
43744,dz3rsj4xhZc8OWTEgcmdhQ,Dim Sum China Express,Charlotte
43745,aHJONInrjeY7qmV3aHOy1Q,Penzeys Spices,Charlotte
43759,lG759ODx7tj6wbS7rYip1g,Galanga Thai Eatery,Las Vegas
43760,VCzxfiTZP66V71j4r1ZKxA,JB's Smokehouse Jerky,Las Vegas
43767,rv9T1qGHbh9eXqFpKEPy_A,Sesame Inn Carefree,Scottsdale
43770,aaL1lgLyDwdP66TkS-XKHA,Empire Espresso,Toronto
43772,1xqzw3Npo6aCTrMObhpA3Q,Noodle Pop,Mississauga
43773,BzAqjV3mqablP3Bls-rEgQ,7-Eleven,Toronto
43775,ax4ztJvW28xgGvI0OPqGcQ,New City Restaurant,Markham
43776,44zSIjPU09F2UBYUn_KZ3Q,Salazar Bros Mexican Food,Tempe
43777,5KcrEqWVHrkBH9W8H6cC9w,Dutch Country Restaurant,Middlefield
43778,TwVFGd4kan9K6ptwGaZdOQ,Liang's Kitchen,Las Vegas
43781,RN69eCpdltAJD9q3SF8Kfw,QuikTrip,Phoenix
43782,K-tl3k56Px2G6KRsKNyUUA,Subway,Cleveland
43785,8Qg7lIWUJt8IW_ssml4bfA,Salad and Go,Phoenix
43789,zUEArXj81jpVOfbe96Bhww,Starbucks,Calgary
43791,oVmk03sRsExksDLkhIezHw,Bobby D's Restaurant & Lounge,Phoenix
43792,Mx6eSGS-1XNRgG9vAF6QcQ,Restaurant Le Jolifou,Montr̩al
43794,yStT0Yen34nU5T0XZpmfnA,The Breakwall Food & Spirits,Avon Lake
43796,txclxSoPwSoQpL1P-1bdaQ,Pho Mai Thy,Calgary
43798,roI_tVLjPh_HUDppr69PaA,Starbucks,Toronto
43806,fIMBFVFYfAo2g6022Q7pjQ,Arby's,Mentor
43807,VHbT6RRMXMgFOOC3p2UtSg,Bistro Etc,Montr̩al
43809,ogX4ONTyz-cMpeTi6hvLDA,Taco Bell,Cleveland
43813,vBypXwimLKYqHPNvsEShsQ,Mind Over Batter,Tempe
43816,ssl5CKazf0FQdY4Wo_lhow,Mye 2 Japanese Restaurant,Oakville
43819,mseBBgYcqyv6T1sfrXI-XQ,Tavern 51,Pittsburgh
43820,NRAmrbIGgXgH5uYv8GGJ5A,Mayworth's Public House,Cramerton
43823,EIMcfTgbWcbkIGajmPg_pw,Swiss Chalet Rotisserie & Grill,Mississauga
43825,ozAb1TjLJqRH_3pb8TaPTw,Red Robin Gourmet Burgers,Madison
43826,2yi6QBxLDgfqrg1Jr4Syzw,Aishwarya Garden,Brampton
43827,xBuFkgsu2i9b8L6G0NqymA,Lulu's Bakery,Las Vegas
43829,IF9C_h3NONhXZ7bbyhtnxA,Osi's Kitchen,Las Vegas
43831,74wRr6PP6lbaL1YzUcYGAA,Golden Palace Buffet,Pittsburgh
43832,mb39JqP2SWe3icnFm1wNow,Banh Xeo Minh,Montr̩al
43833,3c6U5CdxsN_6Gpc6dqTylg,Chicken Connection,Las Vegas
43839,WOz66UuVsfc2K9GxzfDnGg,America's Taco Shop,Phoenix
43843,9a9xBjlW2RxKxD9RMgmcuQ,McDonald's,Las Vegas
43844,hHe1mFDxxrtejXHfiysJJg,The Melting Pot-Las Vegas,Las Vegas
43847,4QTwtaua8tjc-PuneLXJzw,Kabul Kabab House,Toronto
43848,YKy08OxfF3I4x5WQy7lwZg,Subway,Phoenix
43852,5PcW2QipC23t_g71rdCCcw,Fok Yuan Seafood Restaurant,Scarborough
43854,JPOsmsL_MNPYQsJaz2wq3A,McDonald's,Toronto
43856,VZtXF2A-MNt5J6d6ih7tkA,Aldi Grocery,Urbana
43857,ytrjNSTjtkBopBLtHDSnlQ,Wingstop,Phoenix
43858,6JXq8dbJl5h_8fynhjrbTQ,Element Lounge and Restaurant,Toronto
43860,FJY3WbrP1UFPJaG_87kNdA,Hank Daddy's Barbecue,Vaughan
43863,HxfnMzcHXqAcrjA7VGCruQ,Restaurant Pasta Bar,Montr̩al
43868,T311gNM0HGVindTO9Wpb-g,Sushi & Thai Cuisine,Toronto
43870,Occo0_pOXAUG-eL6gazeGQ,Applebee's Grill + Bar,Cleveland
43874,_cRDDAasE-4584eXN_5Ecw,Taco Bell,Phoenix
43875,RWtPw0dnDEXZFKIzqoCbnQ,Pizza Hut,Las Vegas
43879,BgYWn8hyPSpLhaS160FELA,New England Seafood,Charlotte
43882,FZXdI7r9PJVWjzS0S64kog,Sushi Wow,North Las Vegas
43884,4K1_LooJ7smBLJcKaGMjUg,Hestia,Montr̩al
43885,o79zzz-thwHyY-31ryZEaQ,Sabuddy Israeli,Scottsdale
43887,T_YWS3Rp7-iu69VS5jcQPg,Sea Salt Sushi & Oyster,Las Vegas
43889,2Y7voMZLcJ4YYC8_UjEuPg,KFC,Las Vegas
43890,U1g7IHZcnRmOc2m3mvWNig,Zoes Kitchen,Phoenix
43892,gSEfef7CBFHBe3R7J37_3w,Pizza Hut,Etobicoke
43895,1AxEmgv8Dsr3iU9Aa40jPw,"Nabers Music, Bar & Eats",Chandler
43898,GqSA5t_OD1uxDZMwVLpoXA,Marben,Toronto
43899,C_Zj7H7bUJ5kGCwFmEwW6w,B Won,Champaign
43900,-c_MUp1XdJnC8LofTEPLTA,Red Brick Pizza,Mesa
43901,gXzQb8auHnhNxJ9EF2F-tA,Domino's Pizza,Pittsburgh
43903,kyp6dmpiexaEhTBg7YpsSQ,Angela's Family Restaurant,Cleveland
43905,PC_bg7yJTuRQbR5K8W5S5Q,Original #1 Brothers Pizza,Peoria
43906,9z_w0YrwHP-_HjtVxQQd4w,Nosso Talho,Toronto
43915,rGwnzfCUp23Q5lTkxqZqTg,Dos Amigos Fresh Mex-Grill,Glendale
43916,d3zGZajADk5Zj-Mye21zqQ,GNC,Las Vegas
43917,OOcStAmXdGGLJIy32GAkrQ,The Fresh Market,Cornelius
43919,TggkxsvAxWs5HOfW1N9osw,The Grille,Mesa
43920,gd-fV04gMKMz724XM32xQA,Bandit Brewery,Toronto
43922,o2UpKOPWQIOdvHGfQy2gyA,Subway,Mesa
43924,yS6KN5nD4O-wDHxIhvMNdw,Burger King,Las Vegas
43927,FTA3Qoa7C4aTx_KE75nJ4Q,Fox News Sky Box,Phoenix
43931,t7tYRRfp7gz-nwX-gXic4w,Chuck E. Cheese's,North Olmsted
43932,dC2Uku3Q41gSTjc2WnZZAA,Domino's Pizza,Phoenix
43933,rL-hprXkcvfYSL9kWBFglQ,Austin's Restaurant & Bar,Goodyear
43934,afpXsZF7aYEOYAZpVbOvsQ,Chicha Restaurant,Montr̩al
43939,_leN3DDSaykQobM8FP9iaA,Pizza Hut,Mississauga
43943,63kxNq4fgwvuJnjIeayE8w,A Plus Buffet Sushi Bar,Calgary
43944,zc1sur_MxkKkD6P8gYXQbg,Kay's Kafe,Phoenix
43947,aXnWWp6Reaep4-0iKWlYHQ,TKRE - The Kathi Roll Express,Toronto
43949,WQtrjP4QE5ZTsDEd__bssg,Palma Pasta Corporation,Mississauga
43952,e-finkL51hroOJ0GZ8jcXA,China One West,Madison
43966,Y9Eb2pmn6OydhIbF41mGTw,Chuck's Roadhouse,Ajax
43971,rHaRt3J8R7fGfHTP5Kw6lg,Tov-Li,North York
43978,NHcviPeLWp2QsnFzA73erw,Subway,Macedonia
43980,txe_xGJMV9D1Sbqni6t7TQ,Hibachi One,South Euclid
43981,s0xIhDo3twv1EO9n2-k41Q,Taco Bell,Mint Hill
43985,jKxES7iLV63H_PfyGVGIDw,Lai Lai Wok,Champaign
43986,MT-uG_MfMSJK5U7s_rL5Vw,Let's Be Frank,Toronto
43987,2OFWvbHVwvnva7GxP4wHQg,Pam's Caribbean Kitchen,Toronto
43988,zUSmxRfIcuTGSR630qv9zQ,House of Pepper,Mississauga
43991,ALU2waeVNN_X70sIhqOTig,Helena's Chinese Restaurant & Tavern,Toronto
43992,E9Gnux898nomZK0fYErQVw,Everyday Cafe,Pittsburgh
43996,KPGzvUDM_Ufp8p9meQO3cQ,Le Cardinal,Montr̩al
43997,6E7heoeb5zO4iwKmqScVZw,Kam Ho,Montr̩al
43999,xONNOYgT5BBJj_EVJBMghQ,China Garden,Irwin
44001,EBiSHO2yblFQQ6EPbkZaQg,Ishi 3 Japanese Restaurant,Harrisburg
44002,4nLqlBBt6jcvphkIQxz0gQ,Romano's Macaroni Grill,Goodyear
44005,iiVeHbqOWMuKeUQz7ks71A,Golden China Chinese Cuisine,Las Vegas
44008,d6OH_fW7xD0uYMn9U0OSSg,McDuffy's-Peoria,Peoria
44010,1mkBh9tt9BnN6bGKsPGLGQ,Espresso,Las Vegas
44012,WtO8eoYmrc2_8kuXanug2Q,Uno Pizzeria & Grill,Homestead
44013,5spYyJ6_evLXf3NBSxd9WQ,Troy Mediterranean Grill,Charlotte
44015,xsl-d_opm3AU5H2Z-im33g,College Falafel,Toronto
44016,zZFf54UIKSTyAcszJ0Avhw,Monona Garden Family Restaurant,Monona
44018,OCusT983CS9195nTh8FPCQ,Menas Grill,Matthews
44020,Jqd8QeYoBxJvYxhG0Lekyg,Texas Roadhouse,Willoughby
44021,lObg37f1Gv00pR-dBdSLPw,Jet's Pizza,Cuyahoga Falls
44024,aJduIcgXHKRiAd2PDmM__Q,Moxie's Grill & Bar,Mississauga
44031,aZvpusVrq7hn0PhhaPyhAg,SARA,Toronto
44033,fiG6ltwNYf8k-mGurUybbg,Dj's Bagel Cafe,Fountain Hills
44039,U58ps0CjXxXDCX15Vh1X9g,Starbucks,Scottsdale
44044,MOEcuFtyIsoLgSCUOOzTcA,Restaurant TGV,Montr̩al
44053,dUIRKtd5IRZoTgYzpVp70g,Burger Passion,Phoenix
44054,U1RvFnS-j6ItZ8VJGyncog,Far Niente,Toronto
44057,Xq9SvfRq_PBr8ma6vwh_Mw,Pizza Pizza,Toronto
44059,J2GTY3N_nH7d4L7ngCWKsw,Espadon Plateau,Montr̩al
44060,X6l32xIcHxLWZbEAZEcEng,Scotian Style,Calgary
44062,YZoCp2VEeQBHVivrC5G0CA,Pt's Place,Las Vegas
44063,Fgt70HjHhw5IVYNYulsAng,Crepe it Up,Toronto
44065,41b2SLmjLcxTGLVRxASiDA,Country Club,Las Vegas
44075,u_8cVZyxh0J468zEZUjNDQ,Pin-Up Pizza,Las Vegas
44078,YS4QL8lI2jraKhThwxiwkQ,Jim's Open Kitchen Too,Streetsboro
44079,rk1qMV30IgioAzoLL8_kKw,Donna's Bakery Cafe,Phoenix
44080,ETif1qR6mC_kUgPefwcyPQ,Charlotte Brewery Tours,Charlotte
44081,CpC1vapLlvPSCPCE_wtVgA,Pho Que Huong,Cleveland
44082,LRLc0c1pQwa9VSG7EpZRtg,Empress Court,Chagrin Falls
44086,0wI04UXlA-tUZ7F3y381XA,The Pink Cupcake LV,North Las Vegas
44088,S0cuywF4GoVpTurlwnoDbw,Liquor Depot At Brentwood,Calgary
44090,OPb0zqBiK4IwCb1dY0bbsw,Romeo's Pizza,Twinsburg
44091,fYuLNG55bRRHyJ7QIMM49Q,Little Caesars Pizza,Charlotte
44094,nuGj6GLF9k7FPwl40tmiJw,Edward's Garden Farmer's Market,Toronto
44102,tM_A6uLiKvUCKSdSZxYLYw,Pizza Gigi,Toronto
44104,lpxg6oUkHabQSt0fsjc4Bw,Popeyes Louisiana Kitchen,Whitchurch-Stouffville
44107,VN-U7_jmLOcc5QINTlK5zA,Crazy Mocha Coffee,Pittsburgh
44114,VV3eGgvMkEVBg3yNtClMBg,M̩m̩ Tartine,Verdun
44116,H6cWqEXchVUEJHbi_EHUUg,Copetin,Toronto
44118,dLTuw5TjLmsbDWG2FuK44g,Domino's,Charlotte
44133,L7rjzj2g2EEbHfee9V-X2Q,Samurai Sam's,Phoenix
44135,8TvTnnDdKuxv_trNU_ygLA,Cantine Bayeur,Napierville
44137,XgsGLjUpVhfTqvkapVxYHw,Pizza Hut,Charlotte
44141,la4mM0mSexjkOLe1goXJPg,Hotopia Sichuan Cuisine,Toronto
44143,sWzzhyVrxwvwyoxzFH0mSQ,Saddlecreek Coffee,Cave Creek
44145,swKL5YLL50NEOSWp3XxYZQ,Jonathan's Restaurant,Matthews
44146,9Auncrq-xGueTzgkGO1AkA,E Pan Chinese Cuisine,Toronto
44154,5lnEMwsZELXxBklRlDd-9g,Mr Souvlaki,Toronto
44155,RQDY2f8Bn4RL2TOUzPYYMg,Compare Foods Supermarket,Charlotte
44158,JJGr_k3F26K1ShNLdxfYRQ,Hansa Import Haus,Cleveland
44160,AzzjP1I5lNvRoovh6IK9kw,Restaurant Le Gout De La Thailande,Montr̩al
44174,55D6thr9kwf-1wWQroLBKQ,Alberto's Pizza,Toronto
44179,FGsq4kiRVWz_0DvxMRA_bA,Red Mango,Madison
44180,kuvihcFik55BYDVgJ6hAEA,Chez le Portugais,Montr̩al
44185,xI7GN5nujGjlYF9lAMtC1A,Tilted Kilt Pub & Eatery,Pittsburgh
44186,VwGsgqxKoQjOmzt97rj2PA,Emmagination Cupcakes,Montr̩al
44187,rnHxiYp32wOyKHDK4_rJXw,Planet Organic Market,Calgary
44188,gJ7WFBtT3uSkI5eP9NlKrQ,Cleopatra Bistro Pizza,Phoenix
44194,sGl_RLXLtSPx5kzMUFz11Q,Alimentari Italian Grocery,Toronto
44198,CvP516pjOdcJJkaMjl8rPw,China Kitchen II,Cleveland
44199,yVdY0hheTMN74MI53uf9cw,Mad City Chefs,Oregon
44202,OaS6LSD58o-9zK2Zo_uA8A,Kebeh Kebab,Montr̩al
44203,75azemjvdMXjzzWp-fZDTA,"Liam's Fish, Wings & Things",Pittsburgh
44205,TTnUoYDCQoTfldLs3AuTDg,Chipotle Mexican Grill,Pittsburgh
44207,sC2R8zbTG7UpFN6EyStUWg,Subway,Monroeville
44210,AtMx_q5Uok82I5HtQNDd0Q,Suds & Subs,Mc Kees Rocks
44212,El83MSV3YHDtcSeIJqPOhg,The Chicken Shack,Boulder City
44213,zNtjI0pgzQAAZX6vTaCSsA,Thai Tai Sub,Calgary
44214,e6D1JhseaWPDL9GVlZm6BQ,Red Chili Sichaun Restaurant,Mississauga
44215,2aPbaa0FFbN9AdPtxHqbVg,Tables Board Game Spot,Las Vegas
44222,rhWKFS4VvGJSAP5USbaQjA,The Wine Reserve of Bainbridge,Chagrin Falls
44223,kgIxUvze5xWQafLunbiyDA,Victor Rose,Pointe-Claire
44229,LQso0ugG9xGOWXPawH3-Jw,A-Mart,Calgary
44232,A8yIKHSI5LFYZ6_H8dZBcg,Chefydrew's International Cuisine,Toronto
44233,AMi8t3CbWMxWHmMwvd26SA,Red Robin Gourmet Burgers and Brews,Surprise
44234,eww795QKQPU4aJk8SsHE5g,Bistro 82,Broadview Heights
44235,y_JUlNQB45XhhJj1jAn4ag,Haggen Food & Pharmacy,Las Vegas
44237,NxpVinYOKco6i2Zz8YuiPQ,Planet Organic Market,Calgary
44245,1_vpfu3RxcnX5z54vmnOMg,Hamburger Haven,Phoenix
44248,GLgRZ8dQC-NViPsgy_2SPQ,Walgreens,Mesa
44252,-QC71Wuh0TyJI0RAZ3d0Iw,Chipotle Mexican Grill,Gastonia
44253,VqLbHAeddYcnj99OD_z2zA,Chefbar,Calgary
44257,ZCFNYj3bHbTc0jvSHZFPZA,Kienna Cafe,Calgary
44258,781gG_SYrls_VcmYDsjTEg,Mr. Greek Mediterranean Grill,Richmond Hill
44262,lHYiCS-y8AFjUitv6MGpxg,Starbucks,Toronto
44267,aKMpYHAW_949EKIa8Xu6nw,Culture,Pittsburgh
44272,Bkf6d4VZdRXkSUjjMViBvQ,Tony's Pizza,Boulder City
44273,MJIZthCsaL5COrwepEYCdA,Paradise Bakery,Mesa
44275,Cz8J779gdOi3OARVwOUXRA,Starbucks,Glendale
44276,H6JDm2bkdGmWVEm5K9N2pw,Hohomi Rice and Noodle House,Markham
44277,ijRCz1YX5Ws2UW_2G0Bz7w,Applebee's Grill + Bar,Pittsburgh
44282,BQjereFoM6AXFR66Ydgp7Q,Mom's Place,Calgary
44283,JxxuQ4K8LKtQwWZ3pXgbJw,Bakhtar Kabab,Mississauga
44288,qQvHYQ1uocuEnFcUdhxV_g,The Pub Chip Shop,Pittsburgh
44291,UBQRhqRMW4Sk7kSZvZ1iAQ,Essence Bakery Caf̩,Tempe
44292,fuWOQmKVb17qLFO7ua0pTw,Blizz Frozen Yogurt,Las Vegas
44294,HKrZe0-QGGp3oOYX8cnMSg,Apollo Globe,Montr̩al
44303,lCd20nDS9rFHW_2KViqWUA,El Chullo Peruvian Restaurant & Bar,Phoenix
44305,iClqsxNArejGm3DUgg0j_w,Continental Restaurant,Montr̩al
44310,vTlIUtYXdPxCk6UB746w8w,Utopia Dream Cafe,Markham
44312,wWcrmpuGp4mNaVBdaCa8bw,Il Caffe Di Caffe Mauro,Calgary
44314,YKH9O0AOVFXVSusodoBUkw,Spicy Grille,Dollard-des-Ormeaux
44317,Q-cV5tDErkUbUefrzDa7Aw,Asian Fresh,Las Vegas
44318,VHZPbCbIPHEkKOotdCTiow,Milkywave,Las Vegas
44321,AnuTO0OzHLLQlFNWSm-1gg,Noah Kosher Sushi,Toronto
44323,m8c3E9yrv-XHGDXdHLDz-w,Great Harvest Bread Company,Mentor
44328,s913G_9CYXcP5Fzu7kZZsw,La Cage,Montr̩al
44332,tfTCs7JZRJFpMXypjSX3FA,Chef Zen,Las Vegas
44339,afXMX5llxcMFzbaPaBBm6A,D'Imperio's Restaurant,Pittsburgh
44340,CVt6kBVBABSq-NA_FZfrVw,Shawarma Vegas,Las Vegas
44344,Ks9nrEuLdjmrLH9uXz_G8A,Chipotle Mexican Grill,Mesa
44345,UsKsWxuXwvGyZJE7UNRgpg,Mr Hero,Elyria
44346,KrG_CXYZDqYirhA6QbQN8Q,Subway,Peoria
44349,VbxdWrQ7WHSN7S0RUL7Pqg,Byrd's Pub and Grill,Fitchburg
44350,h8XdexOcJlfLOwXIDtyalg,Cafe Rio,Tempe
44352,TwZL8gjnAJ3DXXnyu-McHw,Fellinis Pizzeria,Jefferson Hills
44353,NEoCDeIo1EqSlHkQa-JYEg,Bis,Montr̩al
44354,1iS-pzwKiNF21UWHl9Rl5g,Macchiatos Coffee & Wine Bar,DeForest
44362,ELOGqkFd6SCm-dSRca8Nsg,Freshii,Montr̩al
44365,qCq3JGKYMFq4dqFjtuF7DQ,Pizza Burgh,Pittsburgh
44369,hD4nmY8c9FRsBNzN1QjObQ,Mamma's Boy Cafe,Las Vegas
44370,lvwVpyVAXrAbnEvfLf768g,Bellevue Beer,Pittsburgh
44371,lZ-QhKIRmJn-NQnQgjcryg,Publix,Concord
44373,6Z_y4jjQJKr61BVcgdZF4A,The Queen of Tarts,Toronto
44374,ubEa6XiMt6gOJ9xsUkbpEw,L'Etoile,Madison
44378,jK9J9HimEchVs0-dC-G-fg,Sweet Tomatoes,Peoria
44384,XRrcBOUE0DFmuHZgwkvjgQ,@ Dawn,Charlotte
44388,cNz2tTTAPmdeAq6HnGeo8w,Roland's Seafood Grill,Pittsburgh
44390,t3uYS5ClpvjS-7ItPEflUQ,Birdy's Restaurant,Pittsburgh
44407,dj0Pl9-Z6iDweaSOfJC3vQ,American Burger Co.,Charlotte
44409,Pwjo1kXWk4dyldClSNfyag,Hungary Thai Bar & Eatery Restaurant,Toronto
44421,Jyub3kujlSOTgxwr9wEKFQ,YOBO,Las Vegas
44425,A6lKCuTrDSJ_eFKyumZCJQ,WuHu Noodle,Las Vegas
44426,tVTglE8UrFrV0ARL7RpaBg,Ogenti,Aurora
44427,zKqHsb2Im6LwxBxTzoggTQ,Babylon Qithara,Calgary
44430,MMuvBnvAqL2y0dlGiTneVQ,Starbucks,Toronto
44431,caKRXynM5bY922pGtQhvfQ,Narong's Thai Kitchen,Las Vegas
44432,Si9KkvAA0uae6qrpofXHCg,Subway,Glendale
44435,Hiqb7coNwQgEoAR9bn5XMg,China House,Grafton
44436,te4HgRSFN-l_lQWWYquNnQ,Subway,Calgary
44438,gwM0ykDKKpKgKzwtU5djqg,Wendy's,Phoenix
44440,Jzvtz6ovMQ_CVEJpIuGwFQ,Carl's Jr.,North Las Vegas
44443,weXoqWqLgzMOf5Yz-qiujw,Bellacino's Pizza & Grinders,Harrisburg
44445,6SiPjEfeWnxbrg-8hXBRxQ,Cupcake Wishes,Avon
44448,KTgbFortwSnFSsQDhoXpTA,Del Taco,Las Vegas
44449,-ifVnqwrgCE3Nc4svkJDMg,Starbucks,Las Vegas
44450,vSVDFUm5D-Xab3bAfeN2Xw,Amaya the Indian Room,East York
44454,URmpCBod57A07npzwCp4bA,Subway,Pittsburgh
44456,lsopUiYOltljpfYcPq9Sbg,Eggs 4 Life,Markham
44459,rMgD4N9Nd-KOTwCX1TJwVQ,Macaron Cafe,Glendale
44460,bnBRkDzjfGqDJHfM3osA7A,Parkway House Family Restaurant,Concord
44467,FudpYlLuoqeetWX6UCt3PQ,Curry in the Box,Fitchburg
44469,haMEAD0sGUUwfWpzSimC2w,303 Fusion Kitchen,Calgary
44472,q6WNhaXjmhngOdxN4qDGRg,BAMBU,Las Vegas
44473,cny7n93eJH7MskcnT8nabw,Salsa's,Charlotte
44474,aM__cg-TKdTsp3UAjcTbog,Yogibar Frozen Yogurt,Vaughan
44475,_ZAyDn90y0GppJQZ2Ah2Yw,Starbucks,Las Vegas
44477,d1zVNv9jW86J0csrknpqcw,Parma Italian Roots,Scottsdale
44479,3Wk0eWZKyw7oSFwIUhAf2g,A&W,Markham
44480,W-ULhCNr4YPMTKtxP2AVDg,Pio Peruvian Rotisserie Chicken,Calgary
44484,8fFTJBh0RB2EKG53ibiBKw,Zenaida's Cafe,Las Vegas
44487,UlxeOC0pwDYhF4DJoDM_ZA,Newtown,Montr̩al
44488,X-Hxv9miUzpFKcOaUVbRCw,Subway,Las Vegas
44490,-blcoBWe_z8B2I9XVESvjQ,The Nutty Boba,Las Vegas
44493,QY1c64999GIxuXtzdFMbqQ,Mr. Chicken,Cleveland
44494,eKJvJs8jxVycATMqrCtx6A,Market Street Pizza,Fort Mill
44495,AbwzmG9dzgHAsEAVL6mWtA,Little Caesars Pizza,Glendale
44496,jCR-xC4NqoEajjmstqX8sA,Twin Creeks,Las Vegas
44499,EPC6hf0LI9CqUOSGxMxHow,Caldense & Bakery,Toronto
44500,eMCxf71sTckRZw4GVGwtrw,Pizza Hut,Phoenix
